county,set_play,shot_outcome,shot_pressure,assist_type,build_up_passes,shot_method,distance_from_goal
Dublin,Open Play,Goal,Low,Hand Pass,3,Right Foot,12.64911064
Kerry,Open Play,Short,Medium,Kick Pass,3,Right Foot,41.34005322
Dublin,Free Kick from Hands,Wide,Low,Free Kick Won,7,Right Foot,46.69047012
Dublin,Open Play,Blocked,Medium,Hand Pass,7,Right Foot,30.08321791
Dublin,45m Kick,Point,Low,Possession Recovered,0,Right Foot,46.32493929
Dublin,Free Kick from Hands,Point,Low,Free Kick Won,3,Right Foot,19.6468827
Kerry,Free Kick from Ground,Point,Low,Free Kick Won,6,Right Foot,50.21951812
Dublin,Open Play,Point,Medium,Possession Recovered,0,Right Foot,19.84943324
Kerry,Open Play,Wide,Low,Hand Pass,6,Right Foot,39.40812099
Dublin,Open Play,Point,Low,Hand Pass,2,Right Foot,12.52996409
Kerry,Free Kick from Ground,Point,Low,Free Kick Won,1,Right Foot,40.24922359
Dublin,Free Kick from Hands,Point,Low,Free Kick Won,15,Right Foot,19.20937271
Kerry,Free Kick from Hands,Point,Low,Free Kick Won,10,Right Foot,26.92582404
Kerry,45m Kick,Point,Low,Possession Recovered,0,Right Foot,45.54119015
Kerry,Open Play,Saved,Low,Hand Pass,5,Right Foot,14.2126704
Kerry,Open Play,Blocked,Medium,Possession Recovered,0,Left Foot,17.80449381
Kerry,45m Kick,Point,Low,Possession Recovered,0,Right Foot,47.75981575
Dublin,Open Play,Point,High,Hand Pass,3,Fisted Point,10.44030651
Kerry,Open Play,Point,Low,Kick Pass,11,Right Foot,32.55764119
Dublin,Open Play,Short,Low,Kick Pass,7,Left Foot,38.27531842
Kerry,Open Play,Blocked,High,Hand Pass,6,Right Foot,13.89244399
Dublin,Free Kick from Hands,Point,Low,Free Kick Won,6,Right Foot,15.13274595
Dublin,Open Play,Point,Medium,Hand Pass,4,Left Foot,33.37663854
Kerry,Open Play,Point,Medium,Kick Pass,1,Left Foot,34.05877273
Dublin,Open Play,Wide,Medium,Kick Pass,4,Left Foot,36.23534186
Dublin,Free Kick from Hands,Point,Low,Free Kick Won,1,Right Foot,29.73213749
